jdate,date,EPTFUS,LASBOR,LASCIN,LASNOC,LASSEM,MYOLUC,NYCHUM,PERSUB,NOID,site,treatment,trial
263,20210920,18,1,15,5,17,5,8,11,74,505,Control,1
264,20210921,494,5,47,333,11,4,8,27,487,505,Control,2
265,20210922,61,5,2,35,6,7,5,36,111,505,Control,3
266,20210923,99,,39,70,17,3,5,25,81,505,Control,4
263,20210920,1,,6,6,11,1,1,9,19,1676,Control,1
264,20210921,127,1,41,21,9,5,4,11,180,1676,Control,2
265,20210922,49,4,2,4,3,5,4,14,84,1676,Control,3
266,20210923,29,2,17,12,23,1,13,16,58,1676,Control,4
263,20210920,33,1,11,5,2,4,4,24,62,1708,Dispenser,1
264,20210921,222,2,40,207,10,5,3,43,312,1708,Dispenser,2
265,20210922,46,,3,31,,,,3,30,1708,Dispenser,3
266,20210923,37,4,6,28,16,4,4,14,65,1708,Dispenser,4
263,20210920,1,2,13,1,4,4,3,2,29,2198,Dispenser,1
264,20210921,18,5,17,20,8,2,11,72,101,2198,Dispenser,2
265,20210922,18,3,3,25,5,2,4,12,54,2198,Dispenser,3
266,20210923,1,1,12,2,13,7,3,20,51,2198,Dispenser,4
263,20210920,22,3,27,9,16,2,4,8,51,2207,Control,1
264,20210921,518,,49,255,33,2,8,18,529,2207,Control,2
265,20210922,71,2,24,90,15,1,12,23,200,2207,Control,3
266,20210923,26,1,19,18,27,1,2,6,45,2207,Control,4
263,20210920,16,,10,10,32,3,5,7,66,4604,Control,1
264,20210921,677,1,10,68,39,2,4,14,264,4604,Control,2
265,20210922,85,,,6,2,4,2,9,34,4604,Control,3
266,20210923,45,,9,9,49,3,8,5,55,4604,Control,4
263,20210920,,,8,1,5,1,2,10,24,4608,Dispenser,1
264,20210921,110,1,21,71,4,1,,6,162,4608,Dispenser,2
265,20210922,,,1,,,,,,1,4608,Dispenser,3
266,20210923,4,1,15,6,32,4,3,5,37,4608,Dispenser,4
263,20210920,1,2,2,1,7,3,3,4,13,4614,Dispenser,1
264,20210921,24,,25,31,,,,5,55,4614,Dispenser,2
265,20210922,,,,2,,1,,1,0,4614,Dispenser,3
266,20210923,,1,10,15,14,3,5,5,46,4614,Dispenser,4
263,20210920,1,,12,5,10,4,3,7,43,4655,Control,1
264,20210921,19,,21,32,2,3,2,16,98,4655,Control,2
265,20210922,,,,1,,,,,2,4655,Control,3
266,20210923,9,1,11,7,31,2,4,3,39,4655,Control,4
263,20210920,6,1,9,12,24,5,8,7,72,4672,Dispenser,1
264,20210921,235,,47,152,38,2,12,3,248,4672,Dispenser,2
265,20210922,4,,,10,2,,2,,11,4672,Dispenser,3
266,20210923,24,1,13,19,21,1,5,2,59,4672,Dispenser,4
267,20210924,1,1,19,4,21,1,3,5,42,505,Dispenser,5
268,20210925,26,1,20,16,35,6,23,20,122,505,Dispenser,6
269,20210926,11,1,14,21,20,2,9,16,52,505,Dispenser,7
270,20210927,809,2,24,437,10,4,6,11,347,505,Dispenser,8
267,20210924,,1,5,,18,1,3,5,35,1676,Dispenser,5
268,20210925,18,1,14,12,40,2,16,22,76,1676,Dispenser,6
269,20210926,,1,8,24,22,3,2,6,38,1676,Dispenser,7
270,20210927,157,2,80,11,12,1,8,13,125,1676,Dispenser,8
267,20210924,1,3,38,,19,,3,8,53,1708,Control,5
268,20210925,59,6,30,28,19,6,11,24,139,1708,Control,6
269,20210926,7,5,17,19,21,13,7,18,104,1708,Control,7
270,20210927,543,3,26,361,13,4,9,22,319,1708,Control,8
267,20210924,1,1,2,2,13,,4,2,21,2198,Control,5
268,20210925,2,3,7,11,45,3,30,15,91,2198,Control,6
269,20210926,1,2,12,18,37,4,3,7,75,2198,Control,7
270,20210927,39,5,21,11,55,5,13,69,192,2198,Control,8
267,20210924,,1,7,3,9,1,2,2,13,2207,Dispenser,5
268,20210925,25,3,25,59,39,3,10,9,101,2207,Dispenser,6
269,20210926,6,,12,24,18,1,8,9,31,2207,Dispenser,7
270,20210927,315,1,132,213,10,,6,9,457,2207,Dispenser,8
267,20210924,,,6,1,32,1,14,5,54,4604,Dispenser,5
268,20210925,6,1,4,15,82,1,68,10,228,4604,Dispenser,6
269,20210926,2,,17,34,151,3,41,6,180,4604,Dispenser,7
270,20210927,358,1,30,53,129,,56,29,696,4604,Dispenser,8
267,20210924,,,9,1,24,,2,3,33,4608,Control,5
268,20210925,8,2,12,12,46,7,14,13,77,4608,Control,6
269,20210926,1,1,13,11,32,2,6,4,57,4608,Control,7
270,20210927,287,1,18,193,19,6,8,9,391,4608,Control,8
267,20210924,,,7,2,12,,1,2,21,4614,Control,5
268,20210925,1,,21,10,35,1,2,6,50,4614,Control,6
269,20210926,,2,30,15,17,1,2,3,31,4614,Control,7
270,20210927,28,,12,187,6,1,2,3,113,4614,Control,8
267,20210924,,1,6,3,37,2,9,3,45,4655,Dispenser,5
268,20210925,6,,16,25,120,2,12,5,108,4655,Dispenser,6
269,20210926,,,18,13,49,,17,1,76,4655,Dispenser,7
270,20210927,48,,22,43,37,,7,6,126,4655,Dispenser,8
267,20210924,1,1,7,3,25,,4,,33,4672,Control,5
268,20210925,14,,10,58,68,2,10,2,87,4672,Control,6
269,20210926,1,2,38,15,38,1,3,,44,4672,Control,7
270,20210927,113,1,46,117,17,1,5,4,178,4672,Control,8
