DATE.12,Treatment,Side,Pass,Trial
7/18/21,Herbivore-damaged,E,35,1
7/19/21,Herbivore-damaged,E,336,1
7/20/21,Undamaged,E,794,2
7/21/21,Undamaged,E,186,2
7/30/21,Undamaged,E,159,3
7/31/21,Undamaged,E,107,3
8/1/21,Herbivore-damaged,E,57,4
8/2/21,Herbivore-damaged,E,58,4
8/3/21,Herbivore-damaged,E,161,5
8/4/21,Herbivore-damaged,E,125,5
7/18/21,Undamaged,W,43,1
7/19/21,Undamaged,W,237,1
7/20/21,Herbivore-damaged,W,174,2
7/21/21,Herbivore-damaged,W,51,2
7/30/21,Herbivore-damaged,W,182,3
7/31/21,Herbivore-damaged,W,136,3
8/1/21,Undamaged,W,177,4
8/2/21,Undamaged,W,136,4
8/3/21,Undamaged,W,501,5
8/4/21,Undamaged,W,245,5
