jdate,date,EPTFUS,LASBOR,LASCIN,LASNOC,LASSEM,MYOLUC,NYCHUM,PERSUB,NOID
179,20210628,1,,26,16,2,1,,,25
180,20210629,1,,30,25,,,1,,29
181,20210630,2,,303,2,1,,,,48
182,20210701,7,,75,2,1,,1,1,15
183,20210702,,,4,2,3,,,,10
184,20210703,1,,,,,,,,3
185,20210704,5,,13,4,2,1,3,,18
186,20210705,3,,21,19,1,,1,2,33
187,20210706,3,,126,1,2,2,,1,33
188,20210707,1,,209,58,3,1,1,,60
189,20210708,,,,,,,,,1
190,20210709,4,,11,10,1,,,2,25
191,20210710,7,,26,31,1,1,1,1,65
192,20210711,6,,242,30,2,,,1,105
193,20210712,5,,160,63,1,,,2,166
194,20210713,5,,101,4,,,1,,25
195,20210714,4,1,156,5,6,1,1,2,39
196,20210715,8,,268,23,7,1,3,2,125
197,20210716,4,,289,15,3,1,1,1,240
198,20210717,2,,12,7,2,,,1,26
199,20210718,2,,10,7,13,1,1,2,34
200,20210719,7,2,37,42,12,2,8,5,60
201,20210720,9,,85,33,6,2,5,2,60
202,20210721,2,,21,17,6,,3,2,33
203,20210722,,,32,18,17,1,4,,39
204,20210723,,,39,15,12,,3,,35
205,20210724,3,,34,21,16,1,6,,40
206,20210725,5,,38,48,28,,6,4,54
207,20210726,6,1,67,48,18,2,9,3,85
208,20210727,15,1,31,29,21,2,11,2,114
209,20210728,9,,14,16,8,2,2,1,41
210,20210729,7,,41,19,6,2,8,1,108
211,20210730,12,1,20,22,55,3,13,3,94
212,20210731,20,5,26,35,42,8,30,2,178
213,20210801,37,,3,41,25,1,17,,72
214,20210802,4,,33,13,71,4,11,1,57
215,20210803,4,,22,22,67,1,24,,110
216,20210804,3,,34,9,55,3,24,,86
217,20210805,17,,34,40,106,1,28,1,138
218,20210806,10,,25,42,32,4,11,1,87
219,20210807,8,,3,32,26,3,12,3,101
220,20210808,29,,36,92,57,3,24,2,162
221,20210809,12,3,20,36,21,5,17,7,285
222,20210810,86,7,8,25,44,51,67,58,315
223,20210811,29,1,,20,3,,5,1,55
224,20210812,18,,50,41,15,1,25,5,90
225,20210813,34,,15,12,2,6,9,,61
226,20210814,13,1,12,26,8,2,7,5,66
227,20210815,55,1,34,25,12,3,10,2,150
228,20210816,23,,2,7,,1,,1,30
229,20210817,29,,5,6,8,,8,5,84
230,20210818,2,2,151,3,5,,15,2,80
231,20210819,10,,11,7,,,,,38
232,20210820,27,0,7,13,8,2,2,2,39
233,20210821,3,1,1,6,2,2,2,,27
234,20210822,3,,5,3,7,1,4,,24
235,20210823,3,2,13,1,3,1,1,,26
236,20210824,,,4,7,8,,3,,13
237,20210825,1,,1,2,3,,9,,22
238,20210826,,1,1,,2,,4,,6
239,20210827,1,,6,2,1,,,,14
240,20210828,,,9,1,,,,,12
241,20210829,4,,,1,4,1,3,1,20
242,20210830,4,,19,,4,,,1,26
243,20210831,1,,10,,1,,,1,13
244,20210901,2,,,2,4,,2,,4
245,20210902,3,,12,15,13,3,2,5,21
246,20210903,2,,13,50,17,3,2,,26
247,20210904,4,,6,5,10,4,4,3,38
248,20210905,4,,35,1,,4,,1,19
249,20210906,12,,4,9,11,,1,1,24
250,20210907,1,,1,1,1,,1,,6
251,20210908,2,,6,,,,,,13
252,20210909,2,,5,3,12,2,1,,24
253,20210910,2,,11,27,7,1,1,,19
254,20210911,3,,,,,1,,,6
255,20210912,2,,17,1,1,,,2,18
256,20210913,1,,7,,1,,,2,10
257,20210914,,,,,,,,,1
258,20210915,,,1,,,,,,5
259,20210916,,,,,,,,,0
260,20210917,,,6,1,,,,,5
261,20210918,1,,13,3,2,,1,1,19
262,20210919,,,6,7,2,,1,,4
263,20210920,,,7,2,1,,,,12
264,20210921,,,,,,,,,1
265,20210922,,,,,,,,,1
266,20210923,1,,,,4,1,,,4
267,20210924,,,3,,2,,1,1,6
268,20210925,,,2,4,3,3,,,15
269,20210926,1,2,10,13,6,5,,2,12
