no,date,time,Temp.F,Rh.pct
1,2021-06-28,9:00,81.61,78.755
2,2021-06-28,10:00,86.551,67.741
3,2021-06-28,11:00,87.865,65.617
4,2021-06-28,12:00,87.71,65.495
5,2021-06-28,13:00,89.717,60.391
6,2021-06-28,14:00,90.721,58.926
7,2021-06-28,15:00,91.648,58.803
8,2021-06-28,16:00,90.954,58.974
9,2021-06-28,17:00,91.494,54.164
10,2021-06-28,18:00,90.259,50.33
11,2021-06-28,19:00,87.787,58.193
12,2021-06-28,20:00,82.922,61.685
13,2021-06-28,21:00,77.207,76.679
14,2021-06-28,22:00,76.435,83.077
15,2021-06-28,23:00,76.127,88.571
16,2021-06-29,0:00,75.817,91.404
17,2021-06-29,1:00,74.89,94.652
18,2021-06-29,2:00,73.888,97.949
19,2021-06-29,3:00,74.505,98.266
20,2021-06-29,4:00,75.817,94.676
21,2021-06-29,5:00,75.74,94.359
22,2021-06-29,6:00,75.585,94.628
23,2021-06-29,7:00,80.065,84.42
24,2021-06-29,8:00,83.617,78.071
25,2021-06-29,9:00,85.856,73.187
26,2021-06-29,10:00,87.323,71.917
27,2021-06-29,11:00,88.327,67.668
28,2021-06-29,12:00,89.872,67.326
29,2021-06-29,13:00,90.799,63.028
30,2021-06-29,14:00,92.111,58.022
31,2021-06-29,15:00,92.111,60.659
32,2021-06-29,16:00,91.956,57.289
33,2021-06-29,17:00,92.961,54.53
34,2021-06-29,18:00,92.806,56.581
35,2021-06-29,19:00,90.489,61.099
36,2021-06-29,20:00,86.473,68.889
37,2021-06-29,21:00,81.223,79.048
38,2021-06-29,22:00,79.911,84.347
39,2021-06-29,23:00,77.594,90.476
40,2021-06-30,0:00,76.899,93.7
41,2021-06-30,1:00,76.05,95.092
42,2021-06-30,2:00,78.211,86.984
43,2021-06-30,3:00,78.906,78.168
44,2021-06-30,4:00,78.211,78.608
45,2021-06-30,5:00,77.207,82.173
46,2021-06-30,6:00,76.822,81.807
47,2021-06-30,7:00,81.223,73.529
48,2021-06-30,8:00,83.772,68.718
49,2021-06-30,9:00,85.933,64.396
50,2021-06-30,10:00,87.555,64.591
51,2021-06-30,11:00,89.487,62.979
52,2021-06-30,12:00,90.104,61.148
53,2021-06-30,13:00,91.648,57.998
54,2021-06-30,14:00,93.501,55.433
55,2021-06-30,15:00,94.12,55.556
56,2021-06-30,16:00,94.815,54.799
57,2021-06-30,17:00,95.432,53.724
58,2021-06-30,18:00,94.35,53.138
59,2021-06-30,19:00,92.498,55.702
60,2021-06-30,20:00,86.243,68.571
61,2021-06-30,21:00,82.227,77.973
62,2021-06-30,22:00,81.84,70.525
63,2021-06-30,23:00,79.524,75.775
64,2021-07-01,0:00,77.594,79.609
65,2021-07-01,1:00,77.439,80.684
66,2021-07-01,2:00,74.505,95.311
67,2021-07-01,3:00,74.273,97.411
68,2021-07-01,4:00,73.116,98.95
69,2021-07-01,5:00,71.339,99.707
70,2021-07-01,6:00,71.879,100
71,2021-07-01,7:00,77.054,95.263
72,2021-07-01,8:00,84.466,76.484
73,2021-07-01,9:00,81.918,78.926
74,2021-07-01,10:00,87.093,65.592
75,2021-07-01,11:00,90.027,60.977
76,2021-07-01,12:00,88.945,55.726
77,2021-07-01,13:00,90.567,58.999
78,2021-07-01,14:00,93.81,52.186
79,2021-07-01,15:00,92.728,53.944
80,2021-07-01,16:00,78.829,80.122
81,2021-07-01,17:00,70.876,96.508
82,2021-07-01,18:00,74.35,95.751
83,2021-07-01,19:00,75.045,92.039
84,2021-07-01,20:00,74.118,95.482
85,2021-07-01,21:00,73.733,95.409
86,2021-07-01,22:00,74.041,96.166
87,2021-07-01,23:00,70.799,97.241
88,2021-07-02,0:00,70.335,99.487
89,2021-07-02,1:00,70.335,99.829
90,2021-07-02,2:00,71.107,99.829
91,2021-07-02,3:00,71.029,99.853
92,2021-07-02,4:00,70.876,99.634
93,2021-07-02,5:00,70.644,100
94,2021-07-02,6:00,69.949,99.878
95,2021-07-02,7:00,70.027,100
96,2021-07-02,8:00,70.104,100
97,2021-07-02,9:00,70.567,96.85
98,2021-07-02,10:00,70.799,95.067
99,2021-07-02,11:00,71.571,94.408
100,2021-07-02,12:00,74.505,88.278
101,2021-07-02,13:00,76.744,84.835
102,2021-07-02,14:00,77.979,82.491
103,2021-07-02,15:00,80.296,76.361
104,2021-07-02,16:00,79.371,75.531
105,2021-07-02,17:00,79.524,70.647
106,2021-07-02,18:00,83.926,62.442
107,2021-07-02,19:00,80.683,55.263
108,2021-07-02,20:00,77.517,54.31
109,2021-07-02,21:00,71.956,61.465
110,2021-07-02,22:00,70.722,61.441
111,2021-07-02,23:00,70.104,59.487
112,2021-07-03,0:00,70.027,59.976
113,2021-07-03,1:00,68.25,66.813
114,2021-07-03,2:00,66.396,72.43
115,2021-07-03,3:00,65.161,78.095
116,2021-07-03,4:00,65.316,74.628
117,2021-07-03,5:00,64.929,78.217
118,2021-07-03,6:00,62.305,85.446
119,2021-07-03,7:00,67.246,76.484
120,2021-07-03,8:00,70.18,72.454
121,2021-07-03,9:00,74.35,66.691
122,2021-07-03,10:00,73.81,68.62
123,2021-07-03,11:00,74.35,67.839
124,2021-07-03,12:00,76.204,60.977
125,2021-07-03,13:00,77.904,60.147
126,2021-07-03,14:00,75.585,61.197
127,2021-07-03,15:00,79.216,54.969
128,2021-07-03,16:00,81.455,48.498
129,2021-07-03,17:00,67.71,84.664
130,2021-07-03,18:00,73.038,75.507
131,2021-07-03,19:00,68.173,89.451
132,2021-07-03,20:00,67.478,94.042
