round,date,site,variety,plot,row,insect.ab
1,7/6/21,W,19,1,a,14
1,7/6/21,W,19,1,b,33
1,7/6/21,W,57,1,a,5
1,7/6/21,W,57,1,b,28
1,7/6/21,W,58,1,a,17
1,7/6/21,W,58,1,b,7
1,7/6/21,W,59,1,a,8
1,7/6/21,W,59,1,b,10
1,7/6/21,W,82,1,a,1
1,7/6/21,W,82,1,b,5
1,7/6/21,W,19,2,a,4
1,7/6/21,W,19,2,b,7
1,7/6/21,W,57,2,a,8
1,7/6/21,W,57,2,b,7
1,7/6/21,W,58,2,a,8
1,7/6/21,W,58,2,b,13
1,7/6/21,W,59,2,a,17
1,7/6/21,W,59,2,b,5
1,7/6/21,W,82,2,a,1
1,7/6/21,W,82,2,b,6
1,7/6/21,W,19,3,a,7
1,7/6/21,W,19,3,b,15
1,7/6/21,W,57,3,a,10
1,7/6/21,W,57,3,b,8
1,7/6/21,W,58,3,a,14
1,7/6/21,W,58,3,b,6
1,7/6/21,W,59,3,a,7
1,7/6/21,W,59,3,b,2
1,7/6/21,W,82,3,a,1
1,7/6/21,W,82,3,b,2
1,7/8/21,C,19,1,a,4
1,7/8/21,C,19,1,b,5
1,7/8/21,C,57,1,a,12
1,7/8/21,C,57,1,b,11
1,7/8/21,C,58,1,a,2
1,7/8/21,C,58,1,b,4
1,7/8/21,C,59,1,a,20
1,7/8/21,C,59,1,b,27
1,7/8/21,C,82,1,a,11
1,7/8/21,C,82,1,b,3
1,7/8/21,C,19,2,a,10
1,7/8/21,C,19,2,b,3
1,7/8/21,C,57,2,a,7
1,7/8/21,C,57,2,b,6
1,7/8/21,C,58,2,a,14
1,7/8/21,C,58,2,b,10
1,7/8/21,C,59,2,a,1
1,7/8/21,C,59,2,b,16
1,7/8/21,C,82,2,a,0
1,7/8/21,C,82,2,b,29
1,7/8/21,C,19,3,a,11
1,7/8/21,C,19,3,b,4
1,7/8/21,C,57,3,a,2
1,7/8/21,C,57,3,b,14
1,7/8/21,C,58,3,a,2
1,7/8/21,C,58,3,b,12
1,7/8/21,C,59,3,a,18
1,7/8/21,C,59,3,b,12
1,7/8/21,C,82,3,a,4
1,7/8/21,C,82,3,b,3
2,7/27/21,W,19,1,a,15
2,7/27/21,W,19,1,b,14
2,7/27/21,W,57,1,a,15
2,7/27/21,W,57,1,b,14
2,7/27/21,W,58,1,a,7
2,7/27/21,W,58,1,b,6
2,7/27/21,W,59,1,a,9
2,7/27/21,W,59,1,b,
2,7/27/21,W,82,1,a,
2,7/27/21,W,82,1,b,
2,7/27/21,W,19,2,a,7
2,7/27/21,W,19,2,b,7
2,7/27/21,W,57,2,a,3
2,7/27/21,W,57,2,b,6
2,7/27/21,W,58,2,a,6
2,7/27/21,W,58,2,b,8
2,7/27/21,W,59,2,a,13
2,7/27/21,W,59,2,b,12
2,7/27/21,W,82,2,a,
2,7/27/21,W,82,2,b,
2,7/27/21,W,19,3,a,7
2,7/27/21,W,19,3,b,12
2,7/27/21,W,57,3,a,14
2,7/27/21,W,57,3,b,12
2,7/27/21,W,58,3,a,20
2,7/27/21,W,58,3,b,16
2,7/27/21,W,59,3,a,49
2,7/27/21,W,59,3,b,12
2,7/27/21,W,82,3,a,
2,7/27/21,W,82,3,b,
2,7/28/21,C,19,1,a,1
2,7/28/21,C,19,1,b,6
2,7/28/21,C,57,1,a,28
2,7/28/21,C,57,1,b,4
2,7/28/21,C,58,1,a,15
2,7/28/21,C,58,1,b,9
2,7/28/21,C,59,1,a,41
2,7/28/21,C,59,1,b,11
2,7/28/21,C,82,1,a,
2,7/28/21,C,82,1,b,
2,7/28/21,C,19,2,a,71
2,7/28/21,C,19,2,b,5
2,7/28/21,C,57,2,a,31
2,7/28/21,C,57,2,b,8
2,7/28/21,C,58,2,a,32
2,7/28/21,C,58,2,b,27
2,7/28/21,C,59,2,a,34
2,7/28/21,C,59,2,b,NA
2,7/28/21,C,82,2,a,
2,7/28/21,C,82,2,b,
2,7/28/21,C,19,3,a,33
2,7/28/21,C,19,3,b,28
2,7/28/21,C,57,3,a,25
2,7/28/21,C,57,3,b,NA
2,7/28/21,C,58,3,a,23
2,7/28/21,C,58,3,b,NA
2,7/28/21,C,59,3,a,56
2,7/28/21,C,59,3,b,167
2,7/28/21,C,82,3,a,
2,7/28/21,C,82,3,b,
3,8/16/21,W,19,1,a,25
3,8/16/21,W,19,1,b,15
3,8/16/21,W,57,1,a,14
3,8/16/21,W,57,1,b,12
3,8/16/21,W,58,1,a,8
3,8/16/21,W,58,1,b,15
3,8/16/21,W,59,1,a,11
3,8/16/21,W,59,1,b,24
3,8/16/21,W,82,1,a,17
3,8/16/21,W,82,1,b,17
3,8/16/21,W,19,2,a,16
3,8/16/21,W,19,2,b,13
3,8/16/21,W,57,2,a,14
3,8/16/21,W,57,2,b,10
3,8/16/21,W,58,2,a,14
3,8/16/21,W,58,2,b,13
3,8/16/21,W,59,2,a,18
3,8/16/21,W,59,2,b,12
3,8/16/21,W,82,2,a,30
3,8/16/21,W,82,2,b,21
3,8/16/21,W,19,3,a,26
3,8/16/21,W,19,3,b,28
3,8/16/21,W,57,3,a,29
3,8/16/21,W,57,3,b,15
3,8/16/21,W,58,3,a,29
3,8/16/21,W,58,3,b,16
3,8/16/21,W,59,3,a,16
3,8/16/21,W,59,3,b,10
3,8/16/21,W,82,3,a,21
3,8/16/21,W,82,3,b,29
3,8/17/21,C,19,1,a,3
3,8/17/21,C,19,1,b,12
3,8/17/21,C,57,1,a,8
3,8/17/21,C,57,1,b,15
3,8/17/21,C,58,1,a,31
3,8/17/21,C,58,1,b,17
3,8/17/21,C,59,1,a,7
3,8/17/21,C,59,1,b,17
3,8/17/21,C,82,1,a,7
3,8/17/21,C,82,1,b,10
3,8/17/21,C,19,2,a,14
3,8/17/21,C,19,2,b,7
3,8/17/21,C,57,2,a,16
3,8/17/21,C,57,2,b,9
3,8/17/21,C,58,2,a,18
3,8/17/21,C,58,2,b,82
3,8/17/21,C,59,2,a,20
3,8/17/21,C,59,2,b,4
3,8/17/21,C,82,2,a,5
3,8/17/21,C,82,2,b,7
3,8/17/21,C,19,3,a,18
3,8/17/21,C,19,3,b,15
3,8/17/21,C,57,3,a,6
3,8/17/21,C,57,3,b,7
3,8/17/21,C,58,3,a,12
3,8/17/21,C,58,3,b,10
3,8/17/21,C,59,3,a,11
3,8/17/21,C,59,3,b,13
3,8/17/21,C,82,3,a,20
3,8/17/21,C,82,3,b,9
4,9/22/21,W,19,1,a,22
4,9/22/21,W,19,1,b,13
4,9/22/21,W,57,1,a,21
4,9/22/21,W,57,1,b,25
4,9/22/21,W,58,1,a,11
4,9/22/21,W,58,1,b,71
4,9/22/21,W,59,1,a,8
4,9/22/21,W,59,1,b,13
4,9/22/21,W,82,1,a,3
4,9/22/21,W,82,1,b,9
4,9/22/21,W,19,2,a,10
4,9/22/21,W,19,2,b,54
4,9/22/21,W,57,2,a,12
4,9/22/21,W,57,2,b,126
4,9/22/21,W,58,2,a,58
4,9/22/21,W,58,2,b,33
4,9/22/21,W,59,2,a,8
4,9/22/21,W,59,2,b,20
4,9/22/21,W,82,2,a,42
4,9/22/21,W,82,2,b,16
4,9/22/21,W,19,3,a,2
4,9/22/21,W,19,3,b,10
4,9/22/21,W,57,3,a,11
4,9/22/21,W,57,3,b,29
4,9/22/21,W,58,3,a,5
4,9/22/21,W,58,3,b,29
4,9/22/21,W,59,3,a,11
4,9/22/21,W,59,3,b,9
4,9/22/21,W,82,3,a,11
4,9/22/21,W,82,3,b,9
4,9/28/21,C,19,1,a,25
4,9/28/21,C,19,1,b,4
4,9/28/21,C,57,1,a,8
4,9/28/21,C,57,1,b,8
4,9/28/21,C,58,1,a,4
4,9/28/21,C,58,1,b,41
4,9/28/21,C,59,1,a,5
4,9/28/21,C,59,1,b,2
4,9/28/21,C,82,1,a,13
4,9/28/21,C,82,1,b,8
4,9/28/21,C,19,2,a,61
4,9/28/21,C,19,2,b,23
4,9/28/21,C,57,2,a,6
