date,EPTFUS,LASBOR,LASCIN,LASNOC,LASSEM,MYOLUC,NYCHUM,PERSUB,TADBRA,total.activity,site
20210629,6,,8,,1,,,,34,49,Clarksville
20210630,,,9,,1,,,1,20,31,Clarksville
20210701,,,3,,,,,,3,6,Clarksville
20210702,1,,4,,3,,,,14,22,Clarksville
20210703,,,,,,,,,,0,Clarksville
20210704,9,,6,4,,1,,1,34,55,Clarksville
20210705,1,1,10,,3,,1,,61,77,Clarksville
20210706,8,1,2,1,2,,,,13,27,Clarksville
20210707,3,,2,1,1,1,,,18,26,Clarksville
20210708,,,2,,1,1,,,7,11,Clarksville
20210709,,,4,,,,,,5,9,Clarksville
20210710,,,5,,,,,,11,16,Clarksville
20210711,4,,3,1,2,,,,14,24,Clarksville
20210712,3,,8,1,,,,,8,20,Clarksville
20210713,2,,9,,,1,,1,7,20,Clarksville
20210714,,,9,1,1,,,,13,24,Clarksville
20210715,3,,11,1,,1,,1,25,42,Clarksville
20210716,3,,5,,,,,,23,31,Clarksville
20210717,,,197,,,,,,18,215,Clarksville
20210718,1,,21,1,7,,1,,8,39,Clarksville
20210719,4,,36,,,,1,,31,72,Clarksville
20210720,2,,37,,10,1,1,1,55,107,Clarksville
20210721,,,14,,8,,,1,15,38,Clarksville
20210722,,,24,,2,,,1,9,36,Clarksville
20210723,4,,15,,5,2,,1,19,46,Clarksville
20210724,1,,22,,2,,,,6,31,Clarksville
20210725,43,1,12,5,3,1,,1,38,104,Clarksville
20210726,6,,4,2,2,1,,,28,43,Clarksville
20210727,11,,44,2,6,3,,2,68,136,Clarksville
20210628,1,,18,1,2,1,,,33,56,Wye
20210629,1,,27,8,,,1,,6,43,Wye
20210630,2,,297,,1,,,,8,308,Wye
20210701,7,,71,,1,,1,1,1,82,Wye
20210702,,,4,,3,,,,1,8,Wye
20210703,1,,,,,,,,1,2,Wye
20210704,5,,5,,2,1,3,,12,28,Wye
20210705,2,,15,,1,,1,2,29,50,Wye
20210706,4,,124,,1,2,,1,4,136,Wye
20210707,,,67,,3,1,1,,208,280,Wye
20210708,,,,,,,,,,0,Wye
20210709,2,,6,1,1,,,2,10,22,Wye
20210710,5,,11,7,1,1,1,1,22,49,Wye
20210711,7,,226,3,,,,1,30,267,Wye
20210712,2,,134,,1,,,2,113,252,Wye
20210713,5,,98,2,,,1,,4,110,Wye
20210714,5,1,145,1,5,1,1,2,13,174,Wye
20210715,5,,220,1,7,1,3,2,74,313,Wye
20210716,2,,54,1,2,1,1,1,385,447,Wye
20210717,1,,5,,2,,,1,13,22,Wye
20210718,3,,5,,14,1,1,2,19,45,Wye
20210719,6,2,4,1,11,2,8,5,67,106,Wye
20210720,9,,21,6,5,2,5,2,99,149,Wye
20210721,,,,3,6,,3,2,38,52,Wye
20210722,,,6,2,16,1,4,,43,72,Wye
20210723,,,3,3,13,,3,,56,78,Wye
20210724,1,,3,2,15,1,6,,55,83,Wye
20210725,5,,2,8,25,,6,4,66,116,Wye
20210726,6,1,10,8,18,2,9,3,92,149,Wye
