round,date,jdate,site,variety,plot,row,insect.names,no.p_s,no.chew,no.n_e,no.other,insect.rich,calc.ab,insect.ab,observers,notes
1,7/6/21,187,W,19,1,b,"27 PLH, 2 thrips, 1 green cloverworm, 2 pirate bug, 1 garden fleahopper",30,1,2,0,5,33,33,"Brendan, Kelsey",
1,7/6/21,187,W,57,1,b,"1 damselfly, 11 thrips, 1 spider, 9 PLH, 6 leaf-fold caterpillars",20,6,2,0,5,28,29,"Brendan, Kelsey",
1,7/6/21,187,W,58,1,a,"11 thrips, 1 beige leafhopper nymph, 2 garden fleahopper, 3 spider",14,0,3,0,4,17,17,"Brendan, Kelsey",
1,7/6/21,187,W,57,1,a,"1 whitefly, 1 spider, 2 thrips, 1 blackhead leaftier",3,1,1,0,4,5,15,"Brendan, Kelsey",
1,7/6/21,187,W,19,1,a,"10 PLH, 1 leaf fold cat, 1 garden fleahopper, 2 thrips",11,1,0,0,4,12,14,"Brendan, Kelsey",
1,7/6/21,187,W,59,1,b,"4 PLH, 2 pirate bug, 4 thrips",8,0,2,0,3,10,10,"Brendan, Kelsey",
1,7/6/21,187,W,59,1,a,"4 thrips, 2 spider, 1 PLH, 1 pirate bug",5,0,3,0,4,8,8,"Brendan, Kelsey",
1,7/6/21,187,W,58,1,b,"3 thrips, 2 ants, 1 leaf fold caterpillar, 1 spider",3,1,3,0,4,7,7,"Brendan, Kelsey",
1,7/6/21,187,W,82,1,b,"2 PLH, 1 pirate bug, 1 fly larvae, 1 meadow katydid?",2,1,1,1,4,5,5,"Brendan, Kelsey",
1,7/6/21,187,W,82,1,a,1 PLH,1,0,0,0,1,1,1,"Brendan, Kelsey",
1,7/8/21,189,C,59,1,b,"17 slugs, 10 ants",0,17,10,0,2,27,27,"Brendan, Kelsey",
1,7/8/21,189,C,59,1,a,"9 thrips, 3 PLH, 3 pirate bug, 1 garden fleahopper, 1 whitefly, 3 black gnat",14,0,3,3,6,20,20,"Brendan, Kelsey",
1,7/8/21,189,C,57,1,a,"3 pirate bug, 2 black gnat, 6 thrips, 1 bigeyed bug",6,0,3,3,4,12,12,"Brendan, Kelsey",
1,7/8/21,189,C,57,1,b,"4 slugs, 1 thrips, 5 ants, 1 black gnat",1,4,5,1,4,11,11,"Brendan, Kelsey",
1,7/8/21,189,C,82,1,a,"10 ants, 1 PLH",1,0,10,0,2,11,11,"Brendan, Kelsey",
1,7/8/21,189,C,19,1,b,"2 pirate bug, 1 ant, 1 spider, 1 firefly",0,0,4,0,4,4,5,"Brendan, Kelsey",
1,7/8/21,189,C,19,1,a,4 slugs,0,4,0,0,1,4,4,"Brendan, Kelsey",
1,7/8/21,189,C,58,1,b,"3 ants, 1 spider",0,0,3,0,2,3,4,"Brendan, Kelsey",
1,7/8/21,189,C,82,1,b,"1 slug, 2 ants",1,0,2,0,1,3,3,"Brendan, Kelsey",
1,7/8/21,189,C,58,1,a,"1 thrips, 1 pirate bug",1,0,1,0,2,2,2,"Brendan, Kelsey",
2,7/27/21,208,W,82,1,a,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,82,1,b,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,19,1,a,"1 weevil, 2 thrips, 2 whitefly, 3 pirate bug, 1 spider, 2 cloverworm, 2 black gnat, 1 leaffold cat, 1 garden fleahopper",5,3,4,3,9,15,15,"Brendan, Kelsey, Lauren",
