jdate,max.temp.c,min.temp.c
1,9.49,-0.80
2,11.16,-2.10
3,10.83,7.60
4,13.09,7.40
5,7.46,-0.87
6,11.79,0.23
7,8.29,-1.67
8,7.68,0.10
9,2.92,-4.27
10,12.66,-0.34
11,20.13,11.43
12,20.06,7.36
13,10.16,2.90
14,8.93,2.70
15,12.56,6.06
16,12.66,2.46
17,2.80,-5.06
18,5.60,-4.87
19,7.20,-2.20
20,1.26,-3.94
21,1.39,-5.56
22,3.35,-7.00
23,5.29,-6.09
24,13.85,-2.87
25,10.79,3.50
26,10.59,2.20
27,10.63,0.13
28,6.40,3.63
29,6.65,-2.14
30,4.89,-3.47
31,8.59,-2.54
32,9.16,-1.74
33,9.00,2.86
34,17.26,-0.77
35,18.53,9.19
36,13.53,3.30
37,10.67,3.03
38,14.26,1.83
39,6.62,-1.57
40,8.92,-2.64
41,9.60,4.66
42,11.46,8.49
43,8.90,3.63
44,12.76,3.56
45,5.70,-4.10
46,1.02,-8.60
47,9.29,-2.04
48,11.42,1.93
49,14.89,2.46
50,10.36,2.03
51,3.66,-1.54
52,1.59,-5.13
53,9.86,-3.80
54,12.76,-4.27
55,12.86,0.19
56,11.16,7.43
57,11.13,7.56
58,9.36,0.26
59,8.49,0.36
60,3.20,-1.33
61,7.79,-1.94
62,17.69,1.36
63,15.86,4.76
64,15.96,6.50
65,10.63,1.96
66,6.23,0.86
67,8.96,-1.47
68,13.86,-2.40
69,19.60,5.03
70,19.33,12.56
71,13.26,5.30
72,14.86,5.26
73,23.03,9.62
74,13.36,5.43
75,11.13,3.63
76,12.76,-0.17
77,15.73,3.96
78,13.69,4.16
79,18.46,7.63
80,26.07,13.29
81,19.20,7.26
82,11.26,1.49
83,8.66,4.30
84,11.73,2.03
85,9.23,5.23
86,14.23,0.80
87,17.90,9.39
88,13.53,9.42
89,17.50,9.42
90,20.60,6.97
91,12.73,4.70
92,12.49,4.43
93,15.76,5.90
94,15.69,8.60
95,13.66,8.83
96,18.53,10.03
97,19.03,7.73
98,20.06,8.90
99,24.71,10.37
100,21.67,7.67
101,10.83,5.46
102,15.66,5.16
103,21.46,3.73
104,23.67,12.73
105,14.29,6.20
106,11.13,2.50
107,11.96,2.80
108,13.99,0.37
109,11.53,2.36
110,17.00,1.23
111,14.89,8.30
112,19.16,6.87
113,14.69,3.50
114,15.63,5.47
115,12.13,9.86
116,19.16,7.33
117,13.79,9.00
118,13.89,6.56
119,15.16,5.23
120,24.81,10.03
121,22.84,13.46
122,19.1,12.4
123,21.0,11.0
124,23.1,14.9
125,23.3,12.7
126,14.5,8.2
127,11.2,7.1
128,18.1,7.0
129,19.8,5.2
130,10.9,2.8
131,16.5,5.2
132,17.2,7.9
133,15.8,6.2
134,19.2,5.0
135,21.3,6.9
136,27.9,17.7
137,27.0,14.8
138,19.9,11.8
139,19.1,12.6
140,19.7,11.6
141,15.7,8.0
142,21.7,7.7
143,24.5,13.8
144,26.7,16.6
145,18.9,13.2
146,22.4,13.9
147,24.0,13.2
148,26.6,15.1
149,27.9,21.0
150,28.9,21.9
151,27.2,17.4
152,22.7,12.2
153,21.4,9.4
154,22.1,15.4
155,30.6,20.4
156,31.4,20.0
157,29.8,20.4
158,29.9,21.0
159,26.1,16.2
160,25.6,13.6
161,30.4,14.6
162,30.8,23.6
163,27.9,21.6
164,29.1,19.1
165,24.7,15.9
166,24.8,14.2
167,25.0,13.8
168,24.5,15.0
169,20.8,16.3
170,27.4,18.3
171,28.8,17.4
172,22.9,18.7
173,28.6,18.0
174,31.2,20.5
175,30.8,20.5
176,28.4,21.7
177,19.7,18.1
178,29.7,17.6
179,31.3,22.8
180,30.6,22.4
181,30.9,21.8
182,29.9,21.1
183,28.7,20.3
184,30.5,19.0
185,33.1,21.0
186,30.9,21.2
187,31.6,23.5
188,25.0,20.4
189,30.5,20.2
190,31.2,23.2
191,31.3,22.2
192,28.5,23.2
193,30.5,24.2
194,31.1,19.9
195,29.5,20.9
196,29.5,20.2
197,31.2,19.7
198,29.3,19.9
199,32.0,21.4
200,32.7,23.2
201,34.0,21.9
202,34.0,26.1
203,34.3,23.0
204,32.8,22.6
205,31.6,22.5
206,29.9,22.2
207,31.8,21.2
208,33.0,24.3
209,33.3,23.5
210,33.3,26.0
211,32.2,24.2
212,33.4,22.8
213,24.9,22.6
214,30.5,21.2
215,32.7,24.4
216,29.8,21.3
217,29.0,20.3
218,29.6,20.2
219,28.7,20.5
220,29.6,20.5
221,28.4,20.5
222,30.7,20.7
223,32.0,23.7
224,31.4,23.5
225,31.9,22.5
226,26.5,21.9
227,29.7,21.0
228,25.2,19.8
229,22.3,19.3
230,27.5,17.2
231,28.4,19.1
232,26.5,18.6
233,27.8,17.6
234,28.0,17.8
235,28.3,22.0
236,30.3,21.9
237,30.7,23.6
238,31.6,23.7
239,28.7,19.7
240,32.3,24.1
241,32.1,23.0
242,28.2,21.9
243,27.1,18.6
244,25.3,17.7
245,28.2,18.6
246,30.2,21.4
247,31.3,22.0
248,30.8,21.2
249,25.9,16.7
250,27.5,15.6
251,27.6,15.2
252,29.5,17.0
253,26.8,20.0
254,28.5,23.2
255,26.3,20.9
256,24.4,15.7
257,26.6,15.4
258,24.7,15.2
259,20.1,10.9
260,22.6,9.7
261,23.6,16.8
262,22.1,14.0
263,18.4,8.3
264,19.7,7.0
265,19.9,7.7
266,21.5,6.6
267,24.7,12.5
268,20.8,14.1
269,20.6,14.6
270,23.6,15.6
271,25.4,19.1
272,27.0,19.1
273,25.6,14.8
274,21.2,13.5
275,23.0,12.8
276,19.8,10.1
277,18.4,8.2
278,20.4,6.4
279,19.9,9.6
280,21.0,8.6
281,24.9,13.8
282,20.8,10.0
283,20.8,8.1
284,22.0,13.3
285,21.8,17.7
286,18.5,15.2
287,18.5,11.8
288,21.8,8.7
289,23.2,13.5
290,20.1,9.2
291,15.7,5.2
292,19.8,4.0
293,22.7,9.1
294,22.1,13.7
295,25.4,16.2
296,25.8,14.4
297,23.8,15.3
298,24.3,13.5
299,13.5,6.7
300,16.3,9.5
301,17.1,14.1
302,20.9,14.6
303,19.1,10.0
304,11.0,6.1
305,9.7,3.1
306,14.2,3.4
307,9.5,3.7
308,16.0,5.5
309,18.6,3.6
310,20.0,7.5
311,20.5,8.5
312,20.8,7.7
313,22.7,7.1
314,22.3,8.9
315,24.0,11.2
316,20.9,17.7
317,19.7,8.5
318,14.2,7.7
319,13.9,3.8
320,19.5,3.7
321,15.1,6.1
322,14.3,4.0
323,7.3,-1.2
324,10.0,-2.2
325,16.2,7.4
326,19.2,5.8
327,16.0,9.7
328,14.4,5.3
329,9.9,3.7
330,16.1,4.0
331,19.8,8.7
332,15.4,9.3
333,15.3,4.2
334,12.8,0.1
335,20.2,9.0
