INDIR,OUTDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE FS,OUT FILE ZC,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,AUTO ID*,PULSES,MATCHING,MATCH RATIO,MARGIN,ALTERNATE 1,ALTERNATE 2,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5,OUTPATHMD5FS,OUTPATHMD5ZC
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_040852.zc,0,0,13.826834,,,2021-08-28,4:08:52,4,2021-08-27,16:08:52,16,EPTFUS,106,105,0.991,0.360718,LASNOC,LASCIN,106,30.838,48.11,5.415,53.086,30.256,36.938,121.566,32.165,4.124,268.6,5.124,26.98,1,,,,,,PCHgIHW0tlXXfog6Ta2dyQ==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_033903.zc,0,0,15.003094,,,2021-08-28,3:39:03,3,2021-08-27,15:39:03,15,EPTFUS,82,75,0.915,0.270768,LASNOC,,82,30.946,38.57,5.53,51.668,30.248,36.62,138.034,32.021,4.268,226.05,5.17,17.24,1,,,,,,WM6uBVy5vVr9AL2JksXXzw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210831_025354.zc,0,0,15.000375,,,2021-08-31,2:53:54,2,2021-08-30,14:53:54,14,EPTFUS,81,72,0.889,0.429945,LASNOC,LASCIN,81,29.604,22.32,5.384,46.387,29.135,34.469,137.853,30.106,4.31,242.78,5.102,22.96,1,,,,,,hB06Fhegk7lutU+he8dCLA==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_040210.zc,0,0,15.000102,,,2021-08-28,4:02:10,4,2021-08-27,16:02:10,16,EPTFUS,67,63,0.94,0.444113,LASNOC,LASCIN,67,30.266,37.13,5.057,43.046,29.764,34.137,134.892,31.114,3.899,222.54,4.783,19.34,1,,,,,,UkiXeapvO2jBDH5sgjCGyA==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_042423.zc,0,0,14.80451,,,2021-08-28,4:24:23,4,2021-08-27,16:24:23,16,EPTFUS,75,63,0.84,0.323424,LASNOC,LASCIN,75,30.055,39.49,5.726,46.873,29.508,34.421,134.415,31.056,4.334,273.09,5.329,22.53,1,,,,,,3zA5ucj7yhTmswE7wgKNSg==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_043453.zc,0,0,14.995693,,,2021-08-28,4:34:53,4,2021-08-27,16:34:53,16,EPTFUS,73,62,0.849,0.349197,LASNOC,,73,29.879,41.37,5.615,44.309,29.324,33.791,168.881,30.866,4.223,285.16,5.208,23.38,1,,,,,,XWlZB9OqkYWkuebbbIO3Vw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_040135.zc,0,0,12.401642,,,2021-08-28,4:01:35,4,2021-08-27,16:01:35,16,EPTFUS,64,61,0.953,0.312591,LASNOC,LASCIN,64,30.963,46.55,5.403,50.485,30.323,36.329,124.767,32.107,4.114,278.15,5.037,18.22,1,,,,,,rBJvpdKj7GrKwyTa+VxubA==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210831_030010.zc,0,0,14.053663,,,2021-08-31,3:00:10,3,2021-08-30,15:00:10,15,EPTFUS,63,56,0.889,0.396992,LASNOC,LASCIN,63,29.645,24.85,4.831,44.085,29.138,33.928,149.312,30.162,3.776,262.98,4.571,17.91,1,,,,,,+kVNcYlNVvhRsXSw7X/PHw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_040639.zc,0,0,14.995862,,,2021-08-28,4:06:39,4,2021-08-27,16:06:39,16,EPTFUS,61,53,0.869,0.327365,LASNOC,LASCIN,61,30.688,32.35,4.938,44.127,30.081,34.644,138.095,31.512,3.78,246.99,4.613,15.93,1,,,,,,RpBlbNSmJektfoeImDJyfw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_040607.zc,0,0,12.412238,,,2021-08-28,4:06:07,4,2021-08-27,16:06:07,16,EPTFUS,62,53,0.855,0.301848,,,62,30.795,40.69,4.891,45.255,30.161,35.035,142.756,31.798,3.734,229.12,4.575,17.4,1,,,,,,6PJ31yXfFfGaQ7TBGHs09Q==,,
