"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID*","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210913_062200.zc","0","0","14.995169","","","2021-09-13","06:22:00","6","2021-09-12","18:22:00","18","EPTFUS","19","14","0.737","0.307256","LASNOC","LASCIN","19","29.329","51.76","3.415","38.278","28.612","32.12","622.87","30.355","2.408","240.3","3.148","6.22","1","","","","","","g+sHJjcwpRBlsWtgMEBP5A==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210912_193043.zc","0","0","14.995336","","","2021-09-12","19:30:43","19","2021-09-12","07:30:43","7","EPTFUS","12","11","0.917","0.319434","LASNOC","","12","30.651","47.78","2.636","37.562","29.888","32.552","851.264","31.592","1.653","286.74","2.347","4.28","1","","","","","","biVlFgOGIT3VOqZ+Qu8HHQ==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210908_062537.zc","0","0","14.993865","","","2021-09-08","06:25:37","6","2021-09-07","18:25:37","18","EPTFUS","16","11","0.688","0.251854","TADBRA","","16","30.523","44.17","3.02","39.493","29.815","33.24","866.506","31.371","2.075","324.2","2.75","5.54","1","","","","","","FZo42aHenGmn8kvNFq2NNw==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210909_194942.zc","0","0","8.195458","","","2021-09-09","19:49:42","19","2021-09-09","07:49:42","7","EPTFUS","18","10","0.556","0.195689","LASNOC","LASCIN","18","29.89","70.51","2.716","38.674","28.927","32.322","233.441","31.181","1.642","310.18","2.375","6.23","1","","","","","","/90fEXVWDHnPbt9LAMG0Aw==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210910_193527.zc","0","0","6.54643","","","2021-09-10","19:35:27","19","2021-09-10","07:35:27","7","EPTFUS","10","9","0.9","0.348725","LASNOC","","10","30.108","54.94","3.446","40.28","29.45","33.075","334.794","31.062","2.374","295.99","3.088","3.32","1","","","","","","WVDMWkZ7eiZvU14rjveYsQ==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210908_062507.zc","0","0","14.995931","","","2021-09-08","06:25:07","6","2021-09-07","18:25:07","18","EPTFUS","17","9","0.529","0.237954","LASNOC","TADBRA","17","29.751","31.74","3.024","36.367","29.282","31.811","863.833","30.476","2.09","202.49","2.833","4.89","1","","","","","","+3xcNsahqjlafeL1UraVXg==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210909_195024.zc","0","0","14.992862","","","2021-09-09","19:50:24","19","2021-09-09","07:50:24","7","EPTFUS","19","9","0.474","0.228468","LASNOC","","19","30.435","42.77","2.904","39.484","29.315","32.915","725.729","31.186","1.896","255.08","2.483","6.05","1","","","","","","woI6DEnYY8foIJShpOQrrA==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210908_062522.zc","0","0","14.988688","","","2021-09-08","06:25:22","6","2021-09-07","18:25:22","18","EPTFUS","8","6","0.75","0.278124","LASNOC","TADBRA","8","30.904","25.59","2.589","36.284","29.859","32.227","1847.675","31.31","1.655","180.11","2.295","3.78","1","","","","","","Wdj4MqsV9LITSxDrhBB8zQ==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210908_062248.zc","0","0","10.587473","","","2021-09-08","06:22:48","6","2021-09-07","18:22:48","18","EPTFUS","9","6","0.667","0.240132","LASNOC","","9","30.845","9.85","2.773","37.27","29.794","32.473","666.858","31.15","1.858","168.16","2.343","3.52","1","","","","","","kIKPUOjB8jCxyfPuYG2pcQ==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210913_062453.zc","0","0","10.680352","","","2021-09-13","06:24:53","6","2021-09-12","18:24:53","18","EPTFUS","10","6","0.6","0.33786","LASNOC","","10","30.922","88.82","2.344","39.395","30.123","33.643","635.408","32.82","1.399","287.5","2.209","3.67","1","","","","","","mKNaAe2lJZIngbn0rHyvEA==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210915_193326.zc","0","0","8.079064","","","2021-09-15","19:33:26","19","2021-09-15","07:33:26","7","EPTFUS","7","5","0.714","0.27979","LASNOC","","7","30.143","57.9","2.948","39.247","29.195","32.732","881.902","30.982","2.114","311.67","2.696","2.1","1","","","","","","hNlk+qept7Tc9kp4JCbWsA==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210907_235447.zc","0","0","11.043957","","","2021-09-07","23:54:47","23","2021-09-07","11:54:47","11","EPTFUS","5","4","0.8","0.206611","LASNOC","","5","30.833","65.98","2.566","40.572","30.617","34.299","777.758","32.122","1.855","465.68","2.487","1.56","1","","","","","","OhXsADNMXGQs/gKJrGy8Yw==","",""
"/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Data","/Volumes/Maynard/SERC audio 2021/Chrono plots 9.7-9.16/4704/Output","","SMU04704_20210909_034231.zc","0","0","10.528139","","","2021-09-09","03:42:31","3","2021-09-08","15:42:31","15","EPTFUS","5","4","0.8","0.426892","","","5","30.256","53.93","2.746","37.261","29.857","32.606","548.32","31.878","1.616","217.85","2.609","1.38","1","","","","","","3EqpCZtA+Ju6I4X4NzCzaw==","",""
