KALEIDOSCOPE 5.4.1A
Bats of North America 5.4.0 S/A: 0,,EPTFUS,LASBOR,LASCIN,LASNOC,LASSEM,MYOLUC,MYOSEP,MYOSOD,NYCHUM,PERSUB,,NOID,NOISE,,Presence P-Values:,EPTFUS,LASBOR,LASCIN,LASNOC,LASSEM,MYOLUC,MYOSEP,MYOSOD,NYCHUM,PERSUB
"","*",78,,11,4,,1,,,,1,,38,168,,,0.0000000,1.0000000,0.0135831,1.0000000,1.0000000,0.1025377,1.0000000,1.0000000,1.0000000,0.0896764,
,"20210907",12,,3,1,,,,,,,,5,12,,,0.0000000,1.0000000,0.0974338,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,
,"20210908",12,,,,,,,,,,,6,22,,,0.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,
,"20210909",9,,2,3,,1,,,,,,10,12,,,0.0000025,1.0000000,0.2843325,0.6917272,1.0000000,0.0829789,1.0000000,1.0000000,1.0000000,1.0000000,
,"20210910",11,,1,,,,,,,,,0,58,,,0.0000000,1.0000000,0.8600838,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,
,"20210911",8,,,,,,,,,,,4,41,,,0.0000001,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,
,"20210912",17,,,,,,,,,,,9,15,,,0.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,
,"20210913",2,,2,,,,,,,1,,0,5,,,0.0575874,1.0000000,0.0313658,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0.0781017,
,"20210914",2,,1,,,,,,,,,2,0,,,0.0295830,1.0000000,0.2849862,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,
,"20210915",5,,2,,,,,,,,,2,3,,,0.0001055,1.0000000,0.1119871,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,
