"","jdate","hour","activity"
"1",239,0,2.75
"2",240,0,50
"3",241,0,13.1111111111111
"4",242,0,33.9
"5",243,0,34.1
"6",244,0,7.55555555555556
"7",245,0,2
"8",246,0,11.5555555555556
"9",247,0,15.1111111111111
"10",248,0,50.2222222222222
"11",249,0,14.5
"12",250,0,27.6666666666667
"13",251,0,45.75
"14",252,0,74.1428571428571
"15",253,0,20.8333333333333
"16",256,0,102.666666666667
"17",257,0,52
"18",258,0,76.7777777777778
"19",259,0,46.1111111111111
"20",260,0,8.2
"21",261,0,13.1111111111111
"22",262,0,30
"23",263,0,9.5
"24",264,0,7.66666666666667
"25",265,0,76.4
"26",266,0,9.42857142857143
"27",267,0,6.7
"28",268,0,11.3
"29",269,0,10.5
"30",270,0,10.5
"31",271,0,98
"32",239,1,5.25
"33",240,1,55.3
"34",241,1,9.44444444444444
"35",242,1,46.6
"36",243,1,57.2
"37",244,1,13.9
"38",245,1,1
"39",246,1,13.3333333333333
"40",247,1,12.2222222222222
"41",248,1,31.3333333333333
"42",249,1,10
"43",250,1,15.6666666666667
"44",251,1,40.125
"45",252,1,71.5714285714286
"46",253,1,17.6666666666667
"47",256,1,71.6666666666667
"48",257,1,71.2222222222222
"49",258,1,59.8888888888889
"50",259,1,28.75
"51",260,1,10.2222222222222
"52",261,1,9.7
"53",262,1,15.2
"54",263,1,5.9
"55",264,1,6.1
"56",265,1,104.666666666667
"57",266,1,11.5
"58",267,1,7.5
"59",268,1,5.5
"60",269,1,9.3
"61",270,1,5.2
"62",271,1,73.7
"63",239,2,20
"64",240,2,54.3
"65",241,2,5.5
"66",242,2,15
"67",243,2,39.5
"68",244,2,18.4
"69",245,2,5
"70",246,2,10
"71",247,2,12.1111111111111
"72",248,2,9.77777777777778
"73",249,2,9
"74",250,2,12
"75",251,2,30.75
"76",252,2,45
"77",253,2,25.6666666666667
"78",256,2,83.7777777777778
"79",257,2,83.875
"80",258,2,34.5555555555556
"81",259,2,31.4444444444444
"82",260,2,11.5
"83",261,2,7.5
"84",262,2,7.4
"85",263,2,8.33333333333333
"86",264,2,8.8
