jdate,hour,site,activity
238,7,505,0
238,7,1676,0
238,7,1708,0
238,7,2198,0
238,7,2207,0
238,7,4604,0
238,7,4608,0
238,7,4614,0
238,7,4655,0
238,7,4672,0
238,18,505,
238,18,1676,
238,18,1708,
238,18,2198,
238,18,2207,
238,18,4604,
238,18,4608,
238,18,4614,
238,18,4655,
238,18,4672,
238,19,505,
238,19,1676,
238,19,1708,
238,19,2198,
238,19,2207,
238,19,4604,
238,19,4608,
238,19,4614,
238,19,4655,
238,19,4672,
239,18,505,
239,18,1676,
239,18,1708,
239,18,2198,
239,18,2207,
239,18,4604,
239,18,4608,
239,18,4614,
239,18,4655,
239,18,4672,
239,19,505,
239,19,1676,
239,19,1708,
239,19,2198,
239,19,2207,
239,19,4604,
239,19,4608,
239,19,4614,
239,19,4655,
239,19,4672,
240,7,505,0
240,7,1676,0
240,7,1708,0
240,7,2198,0
240,7,2207,0
240,7,4604,0
240,7,4608,0
240,7,4614,0
240,7,4655,0
240,7,4672,0
240,18,505,
240,18,1676,
240,18,1708,
240,18,2198,
240,18,2207,
240,18,4604,
240,18,4608,
240,18,4614,
240,18,4655,
240,18,4672,
240,19,505,
240,19,1676,
240,19,1708,
240,19,2198,
240,19,2207,
240,19,4604,
240,19,4608,
240,19,4614,
240,19,4655,
240,19,4672,
241,18,505,
241,18,1676,
241,18,1708,
241,18,2198,
241,18,2207,
241,18,4604,
241,18,4608,
241,18,4614,
241,18,4655,
241,18,4672,
241,19,505,
241,19,1676,
241,19,1708,
241,19,2198,
241,19,2207,
241,19,4604,
241,19,4608,
241,19,4614,
241,19,4655,
241,19,4672,
242,18,505,
242,18,1676,
242,18,1708,
242,18,2198,
242,18,2207,
242,18,4604,
242,18,4608,
242,18,4614,
242,18,4655,
242,18,4672,
242,19,505,
242,19,1676,
242,19,1708,
242,19,2198,
242,19,2207,
242,19,4604,
242,19,4608,
242,19,4614,
242,19,4655,
242,19,4672,
243,18,505,
243,18,1676,
243,18,1708,
243,18,2198,
243,18,2207,
243,18,4604,
