jdate,hour,site,activity
245,6,505,0
246,6,505,0
247,19,505,0
248,3,505,0
248,4,505,0
258,7,505,0
258,18,505,0
262,18,505,0
264,18,505,0
266,18,505,0
245,19,1676,0
246,20,1676,0
246,21,1676,0
247,3,1676,0
247,6,1676,0
248,0,1676,0
248,19,1676,0
248,20,1676,0
251,4,1676,0
251,19,1676,0
259,18,1676,0
261,7,1676,0
262,18,1676,0
263,19,1676,0
264,18,1676,0
265,1,1676,0
265,4,1676,0
238,1,1708,0
243,5,1708,0
244,2,1708,0
244,3,1708,0
244,21,1708,0
244,22,1708,0
244,23,1708,0
239,19,2198,0
240,5,2198,0
241,6,2198,0
241,19,2198,0
243,5,2198,0
243,6,2198,0
243,19,2198,0
243,22,2198,0
244,1,2198,0
244,2,2198,0
244,21,2198,0
244,22,2198,0
244,23,2198,0
245,19,2198,0
238,0,2207,0
238,6,2207,0
238,20,2207,0
238,22,2207,0
239,19,2207,0
241,19,2207,0
242,19,2207,0
243,0,2207,0
243,19,2207,0
244,0,2207,0
244,6,2207,0
244,19,2207,0
244,21,2207,0
244,22,2207,0
244,23,2207,0
264,18,2207,0
265,4,2207,0
245,19,4604,0
247,19,4604,0
256,2,4604,0
257,7,4604,0
258,1,4604,0
259,1,4604,0
259,18,4604,0
259,19,4604,0
259,22,4604,0
260,3,4604,0
260,4,4604,0
260,19,4604,0
261,7,4604,0
262,20,4604,0
264,18,4604,0
265,1,4604,0
265,5,4604,0
265,6,4604,0
265,19,4604,0
265,21,4604,0
265,22,4604,0
265,23,4604,0
266,18,4604,0
240,5,4608,0
241,19,4608,0
243,5,4608,0
243,22,4608,0
244,0,4608,0
244,19,4608,0
269,6,4608,0
246,6,4614,0
248,2,4614,0
248,3,4614,0
248,4,4614,0
248,5,4614,0
248,6,4614,0
257,7,4614,0
258,7,4614,0
258,18,4614,0
259,18,4614,0
261,7,4614,0
239,19,4655,0
241,19,4655,0
243,23,4655,0
244,2,4655,0
244,19,4655,0
244,23,4655,0
265,0,4655,0
265,1,4655,0
265,2,4655,0
265,4,4655,0
265,5,4655,0
265,6,4655,0
265,7,4655,0
265,18,4655,0
265,19,4655,0
265,20,4655,0
265,21,4655,0
265,22,4655,0
266,18,4655,0
248,3,4672,0
248,4,4672,0
248,6,4672,0
251,5,4672,0
251,6,4672,0
257,7,4672,0
258,7,4672,0
258,18,4672,0
259,18,4672,0
261,7,4672,0
262,18,4672,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
