jdate,hour,site,activity
244,0,505,0
244,0,1676,0
244,0,1708,0
244,0,2198,0
244,0,2207,0
244,0,4604,0
244,0,4608,0
244,0,4614,0
244,0,4655,0
244,0,4672,0
238,19,505,0
238,19,1676,0
238,19,1708,0
238,19,2198,0
238,19,2207,0
238,19,4604,0
238,19,4608,0
238,19,4614,0
238,19,4655,0
238,19,4672,0
239,19,505,0
239,19,1676,0
239,19,1708,0
239,19,2198,0
239,19,2207,0
239,19,4604,0
239,19,4608,0
239,19,4614,0
239,19,4655,0
239,19,4672,0
240,19,505,
240,19,1676,
240,19,1708,
240,19,2198,
240,19,2207,
240,19,4604,
240,19,4608,
240,19,4614,
240,19,4655,
240,19,4672,
241,19,505,
241,19,1676,
241,19,1708,
241,19,2198,
241,19,2207,
241,19,4604,
241,19,4608,
241,19,4614,
241,19,4655,
241,19,4672,
242,19,505,
242,19,1676,
242,19,1708,
242,19,2198,
242,19,2207,
242,19,4604,
242,19,4608,
242,19,4614,
242,19,4655,
242,19,4672,
243,19,505,
243,19,1676,
243,19,1708,
243,19,2198,
243,19,2207,
243,19,4604,
243,19,4608,
243,19,4614,
243,19,4655,
243,19,4672,
245,19,505,
245,19,1676,
245,19,1708,
245,19,2198,
245,19,2207,
245,19,4604,
245,19,4608,
245,19,4614,
245,19,4655,
245,19,4672,
246,19,505,
246,19,1676,
246,19,1708,
246,19,2198,
246,19,2207,
246,19,4604,
246,19,4608,
246,19,4614,
246,19,4655,
246,19,4672,
247,19,505,
247,19,1676,
247,19,1708,
247,19,2198,
247,19,2207,
247,19,4604,
247,19,4608,
247,19,4614,
247,19,4655,
247,19,4672,
248,19,505,
248,19,1676,
248,19,1708,
248,19,2198,
248,19,2207,
248,19,4604,
248,19,4608,
248,19,4614,
248,19,4655,
248,19,4672,
249,19,505,
249,19,1676,
249,19,1708,
249,19,2198,
249,19,2207,
249,19,4604,
249,19,4608,
249,19,4614,
249,19,4655,
249,19,4672,
250,19,505,
250,19,1676,
250,19,1708,
250,19,2198,
250,19,2207,
250,19,4604,
250,19,4608,
250,19,4614,
250,19,4655,
250,19,4672,
251,19,505,
251,19,1676,
251,19,1708,
251,19,2198,
251,19,2207,
251,19,4604,
251,19,4608,
251,19,4614,
251,19,4655,
251,19,4672,
252,19,505,
252,19,1676,
252,19,1708,
252,19,2198,
252,19,2207,
252,19,4604,
252,19,4608,
252,19,4614,
252,19,4655,
252,19,4672,
253,19,505,
253,19,1676,
253,19,1708,
253,19,2198,
253,19,2207,
253,19,4604,
253,19,4608,
253,19,4614,
253,19,4655,
253,19,4672,
254,19,505,
254,19,1676,
254,19,1708,
254,19,2198,
254,19,2207,
254,19,4604,
254,19,4608,
254,19,4614,
254,19,4655,
254,19,4672,
255,19,505,
255,19,1676,
255,19,1708,
255,19,2198,
255,19,2207,
255,19,4604,
255,19,4608,
255,19,4614,
255,19,4655,
255,19,4672,
256,19,505,
256,19,1676,
256,19,1708,
256,19,2198,
256,19,2207,
256,19,4604,
256,19,4608,
256,19,4614,
256,19,4655,
256,19,4672,
244,22,505,
244,22,1676,
244,22,1708,
244,22,2198,
244,22,2207,
244,22,4604,
244,22,4608,
244,22,4614,
244,22,4655,
244,22,4672,
