"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID*","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210830_202545.zc","0","0","14.988404","","","2021-08-30","20:25:45","20","2021-08-30","08:25:45","8","EPTFUS","52","44","0.846","0.253012","LASNOC","TADBRA","52","31.09","54.08","5.04","46.509","29.877","35.398","122.297","32.569","3.649","286.35","4.548","14.21","1","","","","","","JMAw4iyv+NFhNbMCd0MjgA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210830_204137.zc","0","0","12.601693","","","2021-08-30","20:41:37","20","2021-08-30","08:41:37","8","EPTFUS","46","33","0.717","0.225405","TADBRA","","46","30.051","51.97","3.55","36.965","28.711","31.952","231.675","31.297","2.074","194.58","2.905","16.84","1","","","","","","/yGMa4WPlGE1FvF8yqZHcA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210830_225335.zc","0","0","9.53002","","","2021-08-30","22:53:35","22","2021-08-30","10:53:35","10","EPTFUS","38","28","0.737","0.184709","TADBRA","","38","31.309","36.93","5.07","43.365","30.363","34.877","132.053","32.214","3.794","163.3","4.587","12.61","1","","","","","","8SEPDAELzd6N2cDaXcFpQA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210831_210404.zc","0","0","13.877891","","","2021-08-31","21:04:04","21","2021-08-31","09:04:04","9","EPTFUS","28","20","0.714","0.296572","LASNOC","TADBRA","28","27.363","17.42","5.218","35.6","26.55","29.648","197.849","27.889","3.726","196.02","4.687","10.48","1","","","","","","phbiaFZU74kyY4UDfmWcYA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210828_202728.zc","0","0","14.498896","","","2021-08-28","20:27:28","20","2021-08-28","08:27:28","8","EPTFUS","40","20","0.5","0.237685","LASNOC","TADBRA","40","28.551","17.1","5.073","35.934","27.997","29.807","284.789","28.957","3.727","123.44","4.675","13.68","1","","","","","","ZDvdCisgBsoFcZN/3KvYXQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210830_211156.zc","0","0","9.285047","","","2021-08-30","21:11:56","21","2021-08-30","09:11:56","9","EPTFUS","26","19","0.731","0.283564","TADBRA","","26","31.785","40.91","3.659","38.448","30.928","33.859","181.676","32.784","2.394","173.7","3.224","8.83","1","","","","","","HxPCGZJIkiNDjWvw5ICy3g==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210831_213640.zc","0","0","10.530735","","","2021-08-31","21:36:40","21","2021-08-31","09:36:40","9","EPTFUS","18","14","0.778","0.214386","LASNOC","TADBRA","18","29.758","31.61","5.489","40.058","29.001","31.896","235.149","30.369","4.182","190.66","5.014","4.83","1","","","","","","BQeB3owHpJAnzK4/oG+mvw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_002716.zc","0","0","15.004419","","","2021-08-29","00:27:16","0","2021-08-28","12:27:16","12","EPTFUS","21","14","0.667","0.27875","LASNOC","TADBRA","21","27.934","7.84","6.723","39.448","27.433","30.969","195.117","28.169","5.474","124.29","6.273","5.93","1","","","","","","dJ/U7vaqg4nm+otwOZqofQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210828_224104.zc","0","0","6.91816","","","2021-08-28","22:41:04","22","2021-08-28","10:41:04","10","EPTFUS","21","14","0.667","0.27875","LASNOC","TADBRA","21","27.934","7.84","6.723","39.448","27.433","30.969","195.117","28.169","5.474","124.29","6.273","5.93","1","","","","","","6UK+osnx1S42AYZTAkouHA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210831_024208.zc","0","0","10.491022","","","2021-08-31","02:42:08","2","2021-08-30","14:42:08","14","EPTFUS","25","14","0.56","0.263088","TADBRA","LASNOC","25","28.217","27.89","5.081","33.148","27.345","29.566","216.484","28.769","3.371","95.06","4.268","10.38","1","","","","","","txo3/2elR4do0bzYszVGxw==","",""
